Instance,Run,Score,Runtime
data/large1.in,1,83,0.30411696434020996
data/large1.in,2,83,0.3046541213989258
data/large1.in,3,83,0.3023979663848877
data/large1.in,4,83,0.3043839931488037
data/large1.in,5,83,0.3013002872467041
data/large10.in,1,319,0.24267983436584473
data/large10.in,2,319,0.2514960765838623
data/large10.in,3,319,0.23672127723693848
data/large10.in,4,319,0.23691701889038086
data/large10.in,5,319,0.23489832878112793
data/large11.in,1,56,0.059827327728271484
data/large11.in,2,56,0.05907869338989258
data/large11.in,3,56,0.0600278377532959
data/large11.in,4,56,0.061087846755981445
data/large11.in,5,56,0.059758901596069336
data/large12.in,1,18,0.0030269622802734375
data/large12.in,2,18,0.0031752586364746094
data/large12.in,3,18,0.002932310104370117
data/large12.in,4,18,0.0028870105743408203
data/large12.in,5,18,0.002880096435546875
data/large2.in,1,21,0.001474618911743164
data/large2.in,2,21,0.0013568401336669922
data/large2.in,3,21,0.0012791156768798828
data/large2.in,4,21,0.0014789104461669922
data/large2.in,5,21,0.0012936592102050781
data/large3.in,1,17,0.00602412223815918
data/large3.in,2,17,0.005568981170654297
data/large3.in,3,17,0.005764007568359375
data/large3.in,4,17,0.005621194839477539
data/large3.in,5,17,0.0056650638580322266
data/large4.in,1,153,0.1018831729888916
data/large4.in,2,153,0.1018381118774414
data/large4.in,3,153,0.10097098350524902
data/large4.in,4,153,0.1007239818572998
data/large4.in,5,153,0.10213899612426758
data/large5.in,1,8,0.0045070648193359375
data/large5.in,2,8,0.0042192935943603516
data/large5.in,3,8,0.004436969757080078
data/large5.in,4,8,0.00452113151550293
data/large5.in,5,8,0.0042629241943359375
data/large6.in,1,7,0.007982015609741211
data/large6.in,2,7,0.007936954498291016
data/large6.in,3,7,0.010167121887207031
data/large6.in,4,7,0.007959127426147461
data/large6.in,5,7,0.007811069488525391
data/large7.in,1,172,0.30971288681030273
data/large7.in,2,172,0.30304479598999023
data/large7.in,3,172,0.3014249801635742
data/large7.in,4,172,0.3168659210205078
data/large7.in,5,172,0.32033395767211914
data/large8.in,1,6,0.0023279190063476562
data/large8.in,2,6,0.0022928714752197266
data/large8.in,3,6,0.002045869827270508
data/large8.in,4,6,0.0020508766174316406
data/large8.in,5,6,0.002176046371459961
data/large9.in,1,16,0.006965160369873047
data/large9.in,2,16,0.007827997207641602
data/large9.in,3,16,0.008982181549072266
data/large9.in,4,16,0.0057981014251708984
data/large9.in,5,16,0.00551295280456543
data/small1.in,1,5,0.00045680999755859375
data/small1.in,2,5,0.000164031982421875
data/small1.in,3,5,0.00014591217041015625
data/small1.in,4,5,0.00013971328735351562
data/small1.in,5,5,0.000141143798828125
data/small10.in,1,3,0.0001468658447265625
data/small10.in,2,3,0.00012111663818359375
data/small10.in,3,3,0.00012302398681640625
data/small10.in,4,3,0.00012612342834472656
data/small10.in,5,3,0.00014066696166992188
data/small11.in,1,5,0.00033593177795410156
data/small11.in,2,5,0.00024890899658203125
data/small11.in,3,5,0.00018215179443359375
data/small11.in,4,5,0.00021028518676757812
data/small11.in,5,5,0.00028514862060546875
data/small12.in,1,4,0.0002689361572265625
data/small12.in,2,4,0.00018906593322753906
data/small12.in,3,4,0.00018405914306640625
data/small12.in,4,4,0.0001399517059326172
data/small12.in,5,4,0.00013589859008789062
data/small13.in,1,3,0.0001327991485595703
data/small13.in,2,3,0.00011992454528808594
data/small13.in,3,3,0.00012612342834472656
data/small13.in,4,3,0.0002110004425048828
data/small13.in,5,3,0.00015425682067871094
data/small14.in,1,3,0.00020503997802734375
data/small14.in,2,3,0.00014591217041015625
data/small14.in,3,3,0.0001270771026611328
data/small14.in,4,3,0.00013899803161621094
data/small14.in,5,3,0.00016069412231445312
data/small15.in,1,3,0.0001971721649169922
data/small15.in,2,3,0.00014734268188476562
data/small15.in,3,3,0.00014209747314453125
data/small15.in,4,3,0.00016188621520996094
data/small15.in,5,3,0.0002009868621826172
data/small16.in,1,3,0.00021028518676757812
data/small16.in,2,3,0.0001590251922607422
data/small16.in,3,3,0.0001442432403564453
data/small16.in,4,3,0.0001227855682373047
data/small16.in,5,3,0.00015163421630859375
data/small17.in,1,3,0.0001850128173828125
data/small17.in,2,3,0.00020599365234375
data/small17.in,3,3,0.00018906593322753906
data/small17.in,4,3,0.00026226043701171875
data/small17.in,5,3,0.00019311904907226562
data/small18.in,1,3,0.00020003318786621094
data/small18.in,2,3,0.00013899803161621094
data/small18.in,3,3,0.0001430511474609375
data/small18.in,4,3,0.0001499652862548828
data/small18.in,5,3,0.00017786026000976562
data/small2.in,1,4,0.00022292137145996094
data/small2.in,2,4,0.000141143798828125
data/small2.in,3,4,0.00013494491577148438
data/small2.in,4,4,0.00015115737915039062
data/small2.in,5,4,0.0001239776611328125
data/small3.in,1,6,0.00016498565673828125
data/small3.in,2,6,0.00013589859008789062
data/small3.in,3,6,0.00016808509826660156
data/small3.in,4,6,0.0001442432403564453
data/small3.in,5,6,0.0001289844512939453
data/small4.in,1,5,0.0001533031463623047
data/small4.in,2,5,0.00015306472778320312
data/small4.in,3,5,0.00014400482177734375
data/small4.in,4,5,0.00013303756713867188
data/small4.in,5,5,0.00014019012451171875
data/small5.in,1,6,0.00018095970153808594
data/small5.in,2,6,0.0001628398895263672
data/small5.in,3,6,0.0002281665802001953
data/small5.in,4,6,0.0002448558807373047
data/small5.in,5,6,0.00023889541625976562
data/small6.in,1,4,0.00023698806762695312
data/small6.in,2,4,0.00013899803161621094
data/small6.in,3,4,0.00018095970153808594
data/small6.in,4,4,0.0001838207244873047
data/small6.in,5,4,0.0001380443572998047
data/small7.in,1,4,0.00015592575073242188
data/small7.in,2,4,0.00014400482177734375
data/small7.in,3,4,0.00011801719665527344
data/small7.in,4,4,0.00012803077697753906
data/small7.in,5,4,0.00011801719665527344
data/small8.in,1,3,0.0001983642578125
data/small8.in,2,3,0.000202178955078125
data/small8.in,3,3,0.0001327991485595703
data/small8.in,4,3,0.0001468658447265625
data/small8.in,5,3,0.00014901161193847656
data/small9.in,1,4,0.00020503997802734375
data/small9.in,2,4,0.00016164779663085938
data/small9.in,3,4,0.0002200603485107422
data/small9.in,4,4,0.00015592575073242188
data/small9.in,5,4,0.00018596649169921875
data/test1.in,1,2,0.0001430511474609375
data/test1.in,2,2,0.00011610984802246094
data/test1.in,3,2,0.00012493133544921875
data/test1.in,4,2,0.00011968612670898438
data/test1.in,5,2,0.00013399124145507812
data/test2.in,1,3,0.00013303756713867188
data/test2.in,2,3,0.00012111663818359375
data/test2.in,3,3,0.00011324882507324219
data/test2.in,4,3,0.00011110305786132812
data/test2.in,5,3,0.00011801719665527344
data/test3.in,1,7,0.0001678466796875
data/test3.in,2,7,0.00014209747314453125
data/test3.in,3,7,0.00013494491577148438
data/test3.in,4,7,0.0001590251922607422
data/test3.in,5,7,0.00019311904907226562
data/test4.in,1,5,0.0001971721649169922
data/test4.in,2,5,0.00018286705017089844
data/test4.in,3,5,0.0002434253692626953
data/test4.in,4,5,0.00013113021850585938
data/test4.in,5,5,0.0001678466796875
data/test5.in,1,5,0.0002262592315673828
data/test5.in,2,5,0.0001380443572998047
data/test5.in,3,5,0.00012493133544921875
data/test5.in,4,5,0.00012111663818359375
data/test5.in,5,5,0.00011587142944335938
